symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
NT5C2,-0.20272182051255355,6.332773171422583,-2.7228310952688273,0.006647486419325576,0.035712043829369516,-2.66329958973011
SDF2,-0.19567619077703824,7.099931839292764,-2.721683305002973,0.006670348542136529,0.0358130810481154,-2.666268977092896
GABRB2,0.1328455809307054,3.4690420969891615,2.720697093829865,0.006690048837501952,0.03586659045672575,-2.6688193753388108
GRIN2D,0.10216654551978992,3.328795884190886,2.720302809657617,0.006697939613166975,0.03586659045672575,-2.669838764122875
PRKAB1,0.14212378569738557,5.348730277772329,2.71999308373893,0.006704144011661884,0.03586659045672575,-2.6706394334401082
DBP,-0.1611237513405101,4.18152134727957,-2.7199397256745828,0.006705213397783772,0.03586659045672575,-2.670777359839935
SULT2A1,0.09767671648432333,2.8684705740868566,2.719883535325735,0.00670633971383554,0.03586659045672575,-2.670922604616674
MAGI2,0.30598530479890923,4.570783353196776,2.7198089063619344,0.006707835889075429,0.03586659045672575,-2.6711155062959198
CHAF1A,-0.15988545871753138,4.879979776762213,-2.7197637277780484,0.006708741783798793,0.03586659045672575,-2.671232281832406
SNX19,0.16262724150655483,5.931424612138459,2.7186950715269673,0.006730202024392023,0.035949438144277764,-2.673993943341447
ISOC2,-0.16934994074432005,6.441737403718176,-2.718390095092807,0.0067363377476855795,0.035949438144277764,-2.674781880491938
TARBP2,-0.14266621064888685,5.593724675448926,-2.718384553195782,0.006736449289943353,0.035949438144277764,-2.6747961977392194
MPO,-0.0767616874262321,3.292612792939356,-2.718017709804655,0.006743836481311413,0.035967127900327536,-2.675743858129422
C6,0.18469877191048523,3.531398261087304,2.7172722145428705,0.006758871142677038,0.036000963563231965,-2.6776692987943873
UTP14A,-0.16082879644485082,6.631032957148838,-2.717087481530811,0.0067626013824895834,0.036000963563231965,-2.678146341412275
ATP2B2,0.2034738455726665,3.4809052923556707,2.7170437468107105,0.0067634847716589305,0.036000963563231965,-2.678259274496947
VCPIP1,-0.09545487309134729,3.657366265391114,-2.7168952279050917,0.006766485452328472,0.036000963563231965,-2.6786427711484024
EPPK1,-0.2557798138133841,5.817316554031742,-2.71600201847677,0.006784557191944137,0.03607403495778697,-2.680948731458391
NUP54,-0.16452503859381282,7.551812257057204,-2.715812934878929,0.006788388371811814,0.03607403495778697,-2.681436785481437
TRIM32,-0.16321977050737665,5.199557766730802,-2.7153111584888383,0.006798564729452242,0.03610638826850403,-2.6827317871290695
CD9,-0.29019409205650926,9.115072807141535,-2.714854288211586,0.00680784231057233,0.03613393226380698,-2.683910690314754
AKR1D1,0.19232853304735342,3.200557245936043,2.714379473748778,0.006817496363671443,0.03616344017053825,-2.6851356912089344
ZFY,0.10528305018095935,3.1819563972118585,2.714101765238412,0.006823148519773286,0.03617169731490856,-2.685852070247673
RYR2,0.09256284285448611,3.045331712350023,2.7137242116294904,0.006830839576350245,0.0361907469336085,-2.6868258956793443
ACTR2,-0.2789358276006175,6.735824372485617,-2.710960567564881,0.0068873752962551335,0.0364566396802443,-2.6939501446061525
FXR1,-0.21217433975324443,6.848049923262924,-2.710867757048229,0.006889281207691093,0.0364566396802443,-2.6941892728013777
MAP4K4,0.2313877987623506,5.778106377928611,2.7105665638562053,0.006895469635917588,0.036463554250899095,-2.694965248151009
GPRC5C,-0.18187588338671629,5.86961075979564,-2.7104023855308004,0.00689884501282296,0.036463554250899095,-2.6953881914884645
DBNDD1,-0.14635666391515206,4.027882493887997,-2.708384117502044,0.006940460744755407,0.03666157254645919,-2.700585451227504
WRB,-0.22308258588609797,7.556836208057614,-2.7080933374851957,0.006946475082626547,0.03667140940212652,-2.7013339297951333
SMC2,-0.20161923495320552,4.098669411599143,-2.7061812756041315,0.006986140154041751,0.036831457586121504,-2.706253693269418
MAN2B1,-0.17513587210490397,7.314544332218848,-2.7059224367624326,0.006991525317302447,0.036831457586121504,-2.70691942863389
MTMR6,-0.15664259735937602,6.562338627168171,-2.705863221663826,0.006992757817371104,0.036831457586121504,-2.7070717215525035
