symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
PLA2G12A,-0.34623199462845,6.078131141275376,-4.624083538258139,4.544913780233243e-6,2.99311735404194e-4,3.895925070934914
SEC61G,-0.34785280306427163,9.05716663938488,-4.623587966943405,4.55544120336501e-6,2.99311735404194e-4,3.8937891542876075
JAK1,0.358846750966715,8.11950810527338,4.612732187725294,4.792011943026762e-6,2.993394149965146e-4,3.8470542757647648
DCK,-0.3838540639927659,6.117129142878208,-4.6059988745740945,4.944624565981542e-6,2.993394149965146e-4,3.8181184489489572
LSM1,-0.35678330360727645,8.342806019442378,-4.602509007969991,5.025548360001787e-6,2.993394149965146e-4,3.8031365855242933
PRKAG1,-0.2852567899817026,6.9183150462616725,-4.602096239910391,5.035203364383597e-6,2.993394149965146e-4,3.801365289586326
HN1,-0.4904390137457775,7.935864142668043,-4.600713906988045,5.0676671576153465e-6,2.993394149965146e-4,3.7954344173713723
PFDN2,-0.3425257827926218,8.062567575719159,-4.5990888824143665,5.106087435002255e-6,2.993394149965146e-4,3.7884644098647735
ELN,0.5145828368787482,5.582624862599915,4.5974368873082545,5.145431868717202e-6,2.993394149965146e-4,3.7813810791194156
SESN1,0.3586172117141192,6.933023251254421,4.595977792312225,5.180423981266543e-6,2.993394149965146e-4,3.775126831827534
COX17,-0.3498003189853448,7.633994011690559,-4.592804468922627,5.257317040234054e-6,2.993394149965146e-4,3.7615311403924894
MRPL46,-0.25647148850447476,6.323052559558534,-4.592654969638175,5.2609664545110656e-6,2.993394149965146e-4,3.7608908465680253
MGST3,-0.3815915290478537,9.258007754375022,-4.5889192483227434,5.352952235582012e-6,2.993394149965146e-4,3.744897366234004
GRSF1,-0.371516036168304,6.451891832165238,-4.5866068104335795,5.410663366442394e-6,2.993394149965146e-4,3.7350033832817937
SLC37A1,-0.2695809536336889,5.207488869910587,-4.58574927030705,5.432216235029757e-6,2.993394149965146e-4,3.7313355018656127
BRF2,-0.3883907530814793,6.1921537040404235,-4.58487788097447,5.454201559422024e-6,2.993394149965146e-4,3.7276090410424336
SLC6A8,-0.42747489360505964,6.5746052300101825,-4.567004274202541,5.924451118054378e-6,3.213670286712055e-4,3.6513193517894136
UBE2V2,-0.3603736383307372,8.182819220002314,-4.558027970212864,6.175050234513504e-6,3.311104522299482e-4,3.613111017682166
EEF1E1,-0.348076265123373,6.784100601168933,-4.538566369233033,6.753757356967713e-6,3.5802588716198156e-4,3.530512735451569
TMEM134,-0.3679341378798523,7.227745685038526,-4.524334105231736,7.209515710465623e-6,3.778920313406981e-4,3.470318039153219
STK3,-0.33985909174536716,6.434458212188395,-4.507820724900819,7.775286498095e-6,4.0301901681792424e-4,3.4006973392181115
RBX1,-0.2736428443576812,8.894508668087044,-4.497482182283729,8.150898930231947e-6,4.1784553307178053e-4,3.3572312503028323
DDIT3,-0.2432682582649001,6.179420691122502,-4.4945474011605535,8.260652358895718e-6,4.1886894841574484e-4,3.3449096602121804
UFD1L,-0.3188044430604118,7.997970663026458,-4.474579172616116,9.045886961492988e-6,4.537533621006967e-4,3.2612738081811523
SF3B5,-0.3305899479573335,8.171417271680664,-4.45865170540685,9.722980322304878e-6,4.8012961681954714e-4,3.1948128258617663
H6PD,0.3276351363729386,5.670571798978754,4.45741449384518,9.777559184963981e-6,4.8012961681954714e-4,3.18965958327198
PDCD5,-0.3178711123341868,6.564360549762337,-4.45325433110188,9.963241898801589e-6,4.841512860198897e-4,3.172341483895921
SCFD1,-0.2909975528811506,7.156272044123695,-4.446816068017154,1.0257274652655406e-5,4.885983225374876e-4,3.1455699232406618
PDLIM1,0.4626666076696044,8.894117679975551,4.446515745046724,1.0271191083979926e-5,4.885983225374876e-4,3.144322008647321
IMPA1,-0.30367273207440787,7.379979330009114,-4.444416599399782,1.0368967616551183e-5,4.885983225374876e-4,3.135601759123241
HSPE1,-0.31691381485415676,8.835552185900461,-4.406709677147956,1.2284676814104896e-5,5.730801733779934e-4,2.9796185302028553
